HF_name,subset,task_by_convention,format,comment,seed_paper,do_train,do_eval,train_size,adjusted_train_size,metric,multiple correct answer,Paper link,non_linguistic_knowledge,Imported Task Name,imported category,input_length,_human_skill,Domain,Reference,done
google_wellformed_query,,,,revisit whether to exclude fine-grain regression tasks,,,,,,,,,,google wellformed query,cls/other,,,,Faruqui and Das 2018,
liar,,,,revisit whether to exclude fine-grain regression tasks,,,,,,,,,,liar,cls/fact checking,,,,Wang 2017,
,,,,,,,,,,,,,,break-QDMR-high-level,other,,semantic representation,,Wolfson et al. 2020,
,,,,,,,,,,,,,,crawl domain,other,,,,Zhang et al. 2020,
discovery,discovery,,,,,,,,,,,,,discovery,cls/other,,generative-ish,,Sileo et al. 2019,
wiki_split,,,,,,,,,,,,,,wiki split,cg/other,,,,Botha et al. 2018,
,,,,,,,,,,,,,,aslg pc12,other,,,,Othman and Jemni 2012,
,,,,,,,,,,,,,,CCG (Hockenmaier and Steedman 2007),CCG supertagging,,syntax,Penn Treebank,,
,,,,,,,,,,,,,,Chunk (Tjong Kim Sang and Buchholz 2000),syntactic chunking,,syntax,Penn Treebank,,
,,,,,,,,,,,,,,Conj (Ficler and Goldberg 2016),conjunct identiﬁcation,,syntax,Penn Treebank,,
,,,,,,,,,,,,,,GED (Yannakoudakis et al. 2011),grammatical error detection,,syntax,misc.,,
,,,,,,,,,,,,,,GGParent (Liu et al. 2019a),syntactic tagging,,syntax,Penn Treebank,,
,,,,,,,,,,,,,,GParent (Liu et al. 2019a),syntactic tagging,,syntax,Penn Treebank,,
,,,,,,,,,,,,,,NER (Tjong Kim Sang and De Meulder 2003),named entity recognition,,,news,,
,,,,,,,,,,,,,,Parent (Liu et al. 2019a),syntactic tagging,,syntax; constituency,Penn Treebank,,
,,,,,,,,,,,,,,POS-EWT (Silveira et al. 2014),part-of-speech tagging,,syntax,Web Treebank,,
,,,,,,,,,,,,,,POS-PTB (Marcus et al. 1993),part-of-speech tagging,,syntax,Penn Treebank,,
,,,,,,,,,,,,,,ST (Bjerva et al. 2016),semantic tagging,,,Groningen Meaning Bank,,
financial_phrasebank,,,,,,,,,,,,,,ﬁnancial phrasebank,cls/sentiment analysis,,,,Malo et al. 2014,
health_fact,,,,,,,,,,,,,,health fact,cls/fact checking,,,,Kotonya and Toni 2020,
,,,,,,,,,,,,http://www.sciencedirect.com/science/article/pii/S1532046412000615,,ade corpus v2-classiﬁcation,cls/other,,,,Gurulingappa et al. 2012,
,,,,,,,,,,,,,,ade corpus v2-dosage,other/slot ﬁlling,,,,Gurulingappa et al. 2012,
,,,,,,,,,,,,,,ade corpus v2-effect,other/slot ﬁlling,,,,Gurulingappa et al. 2012,
,,,,,,,,,,,,,,biomrc,qa/machine reading comprehension,,,,Pappas et al. 2020,
,,,,,,,,,,,,,,medical questions pairs,cls/paraphrase,,,,McCreery et al. 2020,
scicite,,,,,,,,,,,,,,scicite,cls/other,,,,Cohan et al. 2019,
,,,,,,,,,,,,,,break-QDMR,other,,logical form,,Wolfson et al. 2020,
,,,,,,,,,,,,,,e2e nlg cleaned,other,,,,Duˇsek et al. 2020 2019,
glue,sst2,,,,,,,,,,,,,glue-sst2,cls/sentiment analysis,,,,Socher et al. 2013,
glue,stsb,fine-grain regression,,,,,,,,,,,,glue-stsb,semantic similarity,,,misc.,,
,,,,,,,,,,,,,,squad-no context,qa/closed-book qa,,,,Rajpurkar et al. 2016,
,,,,,,,,,,,,,,squad-with context,qa/machine reading comprehension,,,,Rajpurkar et al. 2016,
,,,,contrast sets,,,,,,,,https://arxiv.org/pdf/2004.02709.pdf,,BoolQ-CS,Binary yes/no,,,,,
,,,,,,,,,,,,https://aclanthology.org/C16-1236.pdf,,CQ (Bao et al. 2016),knowledge-based QA,,,snippets web queries/KB,,
,,,,contrast sets,,,,,,,,https://arxiv.org/pdf/2004.02709.pdf,,DROP-CS,Abstractive QA,,,,,
,,,,,,,,,,,,https://aclanthology.org/D13-1020.pdf,,MCTest,Multiple choice,,,,,
,,,,,,,,,,,,,,MRPC (Dolan and Brockett 2005),paraphrase identiﬁcation,,,news,,
,,,,"""naturally perturbed"" version of BoolQ",,,,,,,,https://arxiv.org/pdf/2004.04849.pdf,,NP-BoolQ,Binary yes/no,,,,,
,,,,,,,,,,,,https://aclanthology.org/D19-1608.pdf,,quartz-no knowledge,qa/multiple-choice qa,,,,Tafjord et al. 2019b,
,,,,contrast sets,,,,,,,,https://arxiv.org/pdf/2004.02709.pdf,,Quoref-CS,Extractive QA,,,,,
,,,,contrast sets,,,,,,,,https://arxiv.org/pdf/2004.02709.pdf,,ROPES-CS,Extractive QA,,,,,
